## 일주일 일정 샘플

| 날짜        | 일정 및 해야 할 일                                | 달성도                          |
|-------------|--------------------------------------------------|---------------------------------|
| 월요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 대면 미팅 10:00 - 12:00                          | ✅ 완료                         |
|             | - 논문 작성 13:00 - 17:00                          | ✅ 완료                         |
|             | - 친구들과 저녁 약속 19:00                         | ✅ 완료                         |
|             | - 사이드 프로젝트 줌 미팅 22:00 - 23:00            | ✅ 완료                         |
|-------------|--------------------------------------------------|---------------------------------|
| 화요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 줌 미팅 09:00 - 11:00                            | ✅ 완료                         |
|             | - 논문 작성 12:00 - 15:00                          | ❌ 미완료                        |
|             | - 사이드 프로젝트 작업 16:00 - 18:00               | ✅ 완료                         |
|             | - 친구들과 저녁 약속 19:00                         | ✅ 완료                         |
|             | - 논문 작성 21:00 - 23:00                          | ❌ 미완료                        |
|-------------|--------------------------------------------------|---------------------------------|
| 수요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 대면 미팅 10:00 - 12:00                          | ✅ 완료                         |
|             | - 논문 작성 13:00 - 17:00                          | ✅ 완료                         |
|             | - 친구들과 저녁 약속 18:00                         | ✅ 완료                         |
|             | - 사이드 프로젝트 줌 미팅 22:00 - 23:00            | ✅ 완료                         |
|-------------|--------------------------------------------------|---------------------------------|
| 목요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 줌 미팅 09:00 - 11:00                            | ✅ 완료                         |
|             | - 논문 작성 12:00 - 15:00                          | ✅ 완료                         |
|             | - 사이드 프로젝트 작업 16:00 - 18:00               | ✅ 완료                         |
|             | - 논문 작성 20:00 - 23:00                          | ❌ 미완료                        |
|-------------|--------------------------------------------------|---------------------------------|
| 금요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 대면 미팅 10:00 - 12:00                          | ✅ 완료                         |
|             | - 논문 작성 13:00 - 17:00                          | ❌ 미완료                        |
|             | - 친구들과 저녁 약속 19:00                         | ✅ 완료                         |
|             | - 사이드 프로젝트 줌 미팅 22:00 - 23:00            | ✅ 완료                         |
|-------------|--------------------------------------------------|---------------------------------|
| 토요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 골프 약속 10:00 - 14:00                          | ✅ 완료                         |
|             | - 논문 작성 15:00 - 18:00                          | ❌ 미완료                        |
|-------------|--------------------------------------------------|---------------------------------|
| 일요일      | - 아침 헬스                                       | ✅ 완료                         |
|             | - 골프 약속 10:00 - 14:00                          | ✅ 완료                         |
|             | - 논문 작성 15:00 - 18:00                          | ❌ 미완료                        |
